RESPOSTAS CORRETAS,RESPOSTAS ERRADAS
Pois a contabilidade fornece informações quantitativas e também qualitativas ocorridas no patrimônio,Por ser fundamentada em contas a contabilidade fornece somente informações quantitativas sobre o patrimônio
A contabilidade é a ciência que tem por objetivo o estudo das variações quantitativas e qualitativas ocorridas no patrimônio das entidades,O objeto da contabilidade pública é o orçamento público
Ciência que informa sobre os fatos contábeis acontecimentos que provocam alterações qualitativas e ou quantitativas no patrimônio das entidades,A contabilidade desempenha funções administrativa econômica e jurídica
A contabilidade visa a gerar informações para a tomada de decisão por seus usuários os quais podem ser chamados de stakeholders e shareholders,A contabilidade gerencial é um dos ramos da ciência exata que visa a subsidiar os usuários internos por meio dos seus sistemas de informação a tomarem as decisões
O objeto da contabilidade é sempre o PATRIMÔNIO,As informações mais relevantes demandadas pelos diversos usuários da contabilidade e que atendem plenamente as suas principais necessidades estão contidas nas demonstrações financeiras publicadas e referem-se a dados históricos do passado da empresa
O objeto da contabilidade pública ou privada é o PATRIMÔNIO bens direitos e obrigações,é simplesmente um texto fictício da indústria de impressão e composição
A contabilidade possui duas funções 1 Função Administrativa = relacionada ao controle do patrimônio e 2 Função Econômica = relacionada a apuração do resultado líquido,Lorem Ipsum tem sido o texto fictício padrão da indústria desde 1500
A contabilidade é uma ciência SOCIAL que estuda e pratica as funções de orientação de controle e de registro dos atos e fatos de uma administração econômica. A contabilidade gerencial é uma ramificação da contabilidade,Ele sobreviveu não apenas cinco séculos mas também ao salto
As informações mais relevantes demandadas pelos diversos usuários da contabilidade e que atendem parcialmente as suas principais necessidades estão contidas nas demonstrações financeiras publicadas e evidenciam a situação atual da entidade em determinado período comparando com as informações do exercício anterior,para a composição eletrônica permanecendo essencialmente inalterado
objetiva fornecer informações que sejam úteis na tomada de decisões e avaliações por parte dos usuários em geral não tendo o propósito de atender finalidade ou necessidade específica de determinados grupos de usuários,fhsa jklfjksd afhskjd jdsh fkajsd had hdjks hdjsa kdsjkbjsa
